Geneids	Series15_HealthyLungBiopsy_2	Series15_COVID19Lung_2	Series15_COVID19Lung_1
IGSF21	42	0	0
KLHDC7A	10	0	0
PAX7	0	0	0
TAS1R2	0	0	0
ALDH4A1	297	0	0
MIR4695	0	0	0
IFFO2	393	6	0
UBR4	1958	60	3
EMC1	588	18	2
MRTO4	1178	23	1
AKR7L	32	0	0
AKR7A3	26	0	0
LOC100506730	44	0	0
AKR7A2	944	5	0
PQLC2	202	1	0
CAPZB	5739	574	54
MINOS1	1237	113	2
NBL1	36	0	0
HTR6	0	0	0
TMCO4	219	0	0
RNF186	0	0	0
OTUD3	247	0	0
PLA2G2E	0	0	0
PLA2G2A	1880	18	4
PLA2G5	181	3	0
PLA2G2D	22	0	0
PLA2G2F	0	0	0
PLA2G2C	2	0	0
UBXN10	71	0	0
VWA5B1	10	0	0
CAMK2N1	1116	63	3
MUL1	536	1	0
FAM43B	10	2	0
CDA	266	205	27
PINK1	1646	3	1
DDOST	2407	52	4
KIF17	276	2	0
SH2D5	1	0	0
HP1BP3	2336	67	2
EIF4G3	547	70	1
ECE1	6077	69	0
LOC100506801	17	0	0
NBPF3	34	0	0
ALPL	1754	377	58
RAP1GAP	47	5	0
USP48	573	4	0
LDLRAD2	23	0	0
HSPG2	412	4	2
CELA3B	0	0	0
CELA3A	0	0	0
LINC00339	246	3	0
CDC42	5466	588	45
WNT4	29	0	0
ZBTB40	517	10	0
EPHA8	0	0	0
C1QA	5820	170	27
C1QC	1324	433	54
C1QB	4219	503	68
EPHB2	74	13	0
MIR4684	0	0	0
MIR4253	0	0	0
KDM1A	1034	3	0
MIR3115	0	0	0
LUZP1	872	4	0
HTR1D	31	0	1
HNRNPR	2559	64	4
ZNF436	501	15	0
TCEA3	571	0	0
ASAP3	463	0	0
E2F2	22	0	0
ID3	4427	33	0
MDS2	0	0	0
RPL11	28399	879	87
PITHD1	1200	17	0
LYPLA2	1035	18	0
GALE	233	13	0
HMGCL	582	2	0
FUCA1	453	21	5
CNR2	0	0	0
MIR378F	0	0	0
PNRC2	366	0	3
SRSF10	279	0	0
MYOM3	38	5	0
IL22RA1	17	0	0
IFNLR1	13	0	0
LOC284632	8	0	0
GRHL3	5	0	0
STPG1	168	8	0
NIPAL3	416	0	0
RCAN3AS	0	0	0
RCAN3	93	6	4
NCMAP	35	1	0
SRRM1	1500	43	9
CLIC4	6443	781	31
RUNX3	345	3	2
SYF2	1342	29	0
RHD	25	0	0
TMEM50A	1874	342	20
RHCE	3	0	0
LDLRAP1	578	0	0
MAN1C1	219	26	0
MTFR1L	872	0	1
LOC646471	40	0	0
AUNIP	2	0	0
PAQR7	204	2	0
STMN1	888	11	1
MIR3917	0	0	0
PAFAH2	187	8	0
EXTL1	8	0	0
SLC30A2	7	0	0
TRIM63	4	0	0
PDIK1L	65	0	0
FAM110D	1107	0	0
ZNF593	977	4	0
CNKSR1	88	16	0
CATSPER4	0	0	0
CEP85	94	0	0
SH3BGRL3	8356	2138	216
UBXN11	454	5	4
CD52	2886	103	21
ZNF683	31	0	0
LIN28A	3	0	0
DHDDS	371	0	0
HMGN2	3337	23	1
RPS6KA1	1149	58	4
MIR1976	0	0	3
ARID1A	967	31	1
PIGV	144	19	1
ZDHHC18	624	21	1
SFN	464	1	0
GPN2	301	0	0
GPATCH3	401	0	0
NR0B2	10	1	0
NUDC	2875	50	1
TRNP1	114	2	0
SLC9A1	473	0	0
WDTC1	654	15	1
TMEM222	965	8	0
SYTL1	77	2	2
MAP3K6	5125	0	0
FCN3	16072	85	6
CD164L2	3	0	0
GPR3	294	0	0
WASF2	3482	53	0
AHDC1	386	1	0
FGR	3122	1853	85
IFI6	1824	11033	932
FAM76A	242	9	0
STX12	2061	280	15
PPP1R8	821	18	2
SCARNA1	0	3	0
THEMIS2	849	42	4
RPA2	762	53	0
SMPDL3B	28	0	0
XKR8	152	0	2
EYA3	451	55	0
PTAFR	282	48	4
DNAJC8	1966	96	13
SESN2	339	0	0
MED18	11	9	0
PHACTR4	197	9	0
SNHG3	808	4	1
RCC1	211	13	1
TRNAU1AP	420	2	0
SNHG12	451	6	0
SNORD99	70	0	0
SNORA61	51	6	0
SNORA44	23	3	0
SNORA16A	14	1	1
RAB42	12	0	0
TAF12	410	24	6
RNU11	13	12	6
GMEB1	95	0	0
YTHDF2	1471	32	2
OPRD1	0	0	0
EPB41	244	13	0
TMEM200B	42	0	0
SRSF4	3693	145	4
MECR	343	4	0
PTPRU	219	4	0
MATN1	9	0	0
MATN1-AS1	27	0	0
LAPTM5	7537	546	50
MIR4420	0	0	0
SDC3	1089	0	1
PUM1	996	98	0
SNORD103B	0	0	0
SNORD103A	0	0	0
NKAIN1	0	0	0
SNRNP40	505	18	5
ZCCHC17	655	6	2
FABP3	440	3	0
SERINC2	208	8	1
TINAGL1	3132	11	1
HCRTR1	0	0	0
PEF1	2104	40	9
COL16A1	445	0	0
MIR4254	0	0	0
SPOCD1	118	0	0
PTP4A2	3377	196	6
KHDRBS1	2689	209	9
TMEM39B	500	0	0
KPNA6	1238	63	3
TXLNA	2197	18	0
CCDC28B	122	0	0
IQCC	35	0	0
DCDC2B	74	0	0
TMEM234	141	0	0
EIF3I	3182	93	22
MTMR9LP	956	0	0
FAM167B	463	0	1
LCK	92	0	0
HDAC1	1769	69	4
MARCKSL1	1692	108	4
FAM229A	55	0	0
TSSK3	65	1	0
BSDC1	1113	4	0
ZBTB8B	2	0	0
ZBTB8A	196	0	0
ZBTB8OS	433	83	2
RBBP4	801	21	0
SYNC	72	0	0
KIAA1522	368	6	1
YARS	1570	30	0
S100PBP	319	1	0
FNDC5	34	0	0
HPCA	3	0	0
TMEM54	418	1	0
RNF19B	787	985	48
AK2	2118	147	4
TRIM62	94	5	0
ZNF362	471	6	0
PHC2	4572	13	3
MIR3605	5	0	0
ZSCAN20	34	0	0
CSMD2	9	0	0
HMGB4	0	0	0
C1orf94	1	0	0
GJB5	4	0	0
GJB4	1	0	0
